group,split
523,train
524,train
527,train
528,train
529,train
530,train
531,train
532,train
538,train
539,train
541,train
543,train
544,train
545,train
546,train
547,train
548,train
549,train
551,train
553,train
555,train
557,train
558,train
559,train
561,train
562,train
563,train
564,train
565,train
566,train
568,train
569,train
575,train
577,train
578,train
582,train
583,train
585,train
586,train
588,train
589,train
592,train
593,train
596,train
599,train
600,train
601,train
602,train
605,train
606,train
607,train
608,train
609,train
610,train
611,train
612,train
613,train
615,train
616,train
618,train
619,train
624,train
625,train
627,train
628,train
632,train
633,train
636,train
637,train
639,train
640,train
641,train
645,train
646,train
647,train
648,train
649,train
651,train
652,train
654,train
656,train
657,train
659,train
660,train
661,train
663,train
666,train
668,train
669,train
670,train
671,train
672,train
673,train
675,train
676,train
678,train
679,train
681,train
683,train
685,train
686,train
687,train
689,train
690,train
692,train
696,train
697,train
698,train
699,train
700,train
701,train
702,train
703,train
705,train
706,train
709,train
710,train
711,train
712,train
714,train
716,train
717,train
718,train
719,train
720,train
721,train
722,train
723,train
724,train
728,train
729,train
732,train
734,train
736,train
739,train
742,train
743,train
745,train
748,train
749,train
750,train
753,train
754,train
756,train
757,train
758,train
759,train
761,train
762,train
763,train
764,train
765,train
768,train
769,train
772,train
773,train
776,train
778,train
779,train
781,train
784,train
786,train
787,train
790,train
792,train
793,train
794,train
796,train
799,train
801,train
802,train
804,train
805,train
806,train
807,train
809,train
810,train
812,train
813,train
814,train
815,train
816,train
817,train
819,train
820,train
821,train
822,train
823,train
826,train
827,train
828,train
830,train
832,train
833,train
842,train
844,train
845,train
846,train
847,train
850,train
851,train
853,train
854,train
856,train
858,train
860,train
861,train
863,train
865,train
866,train
870,train
871,train
873,train
874,train
877,train
878,train
879,train
880,train
883,train
885,train
886,train
888,train
891,train
892,train
893,train
894,train
895,train
896,train
899,train
902,train
903,train
904,train
906,train
910,train
912,train
913,train
916,train
917,train
918,train
919,train
921,train
922,train
924,train
927,train
928,train
930,train
931,train
932,train
933,train
934,train
935,train
936,train
938,train
939,train
941,train
943,train
945,train
946,train
947,train
948,train
953,train
955,train
956,train
957,train
960,train
962,train
963,train
965,train
966,train
967,train
968,train
970,train
971,train
972,train
975,train
976,train
978,train
979,train
980,train
981,train
982,train
984,train
986,train
987,train
989,train
990,train
991,train
992,train
993,train
997,train
998,train
999,train
2,test
7,test
11,test
34,test
44,test
45,test
58,test
62,test
68,test
74,test
82,test
83,test
84,test
93,test
96,test
100,test
105,test
106,test
108,test
113,test
114,test
115,test
122,test
127,test
129,test
134,test
141,test
146,test
156,test
157,test
173,test
176,test
188,test
190,test
191,test
193,test
194,test
212,test
217,test
231,test
238,test
239,test
259,test
272,test
273,test
286,test
291,test
294,test
304,test
305,test
307,test
308,test
309,test
320,test
334,test
342,test
346,test
347,test
363,test
365,test
371,test
375,test
378,test
409,test
413,test
420,test
423,test
426,test
432,test
434,test
444,test
448,test
457,test
468,test
469,test
474,test
477,test
479,test
481,test
483,test
486,test
489,test
493,test
500,test
505,test
511,test
517,test
518,test
526,test
537,test
550,test
572,test
573,test
576,test
595,test
597,test
614,test
617,test
620,test
623,test
682,test
695,test
713,test
715,test
730,test
737,test
740,test
744,test
751,test
752,test
755,test
770,test
785,test
789,test
791,test
824,test
829,test
834,test
837,test
839,test
848,test
864,test
867,test
875,test
876,test
881,test
890,test
908,test
914,test
920,test
929,test
937,test
944,test
949,test
950,test
954,test
958,test
961,test
977,test
983,test
995,test
996,test
