group,split
squad_397,train
squad_398,train
squad_4,train
squad_401,train
squad_405,train
squad_406,train
squad_407,train
squad_408,train
squad_41,train
squad_410,train
squad_413,train
squad_417,train
squad_421,train
squad_423,train
squad_424,train
squad_426,train
squad_428,train
squad_429,train
squad_430,train
squad_433,train
squad_434,train
squad_437,train
squad_439,train
squad_44,train
squad_440,train
squad_441,train
squad_442,train
squad_446,train
squad_448,train
squad_451,train
squad_454,train
squad_455,train
squad_460,train
squad_463,train
squad_464,train
squad_465,train
squad_466,train
squad_467,train
squad_47,train
squad_471,train
squad_473,train
squad_474,train
squad_478,train
squad_479,train
squad_480,train
squad_482,train
squad_483,train
squad_486,train
squad_487,train
squad_492,train
squad_495,train
squad_497,train
squad_498,train
squad_499,train
squad_5,train
squad_51,train
squad_53,train
squad_56,train
squad_57,train
squad_58,train
squad_6,train
squad_60,train
squad_62,train
squad_65,train
squad_68,train
squad_69,train
squad_73,train
squad_74,train
squad_75,train
squad_79,train
squad_84,train
squad_86,train
squad_87,train
squad_9,train
squad_93,train
squad_98,train
sst2_0,train
sst2_100,train
sst2_102,train
sst2_104,train
sst2_105,train
sst2_106,train
sst2_107,train
sst2_108,train
sst2_109,train
sst2_11,train
sst2_110,train
sst2_112,train
sst2_113,train
sst2_115,train
sst2_119,train
sst2_12,train
sst2_121,train
sst2_125,train
sst2_126,train
sst2_127,train
sst2_131,train
sst2_132,train
sst2_133,train
sst2_134,train
sst2_135,train
sst2_136,train
sst2_137,train
sst2_138,train
sst2_139,train
sst2_140,train
sst2_142,train
sst2_144,train
sst2_146,train
sst2_147,train
sst2_149,train
sst2_151,train
sst2_153,train
sst2_155,train
sst2_156,train
sst2_157,train
sst2_159,train
sst2_162,train
sst2_167,train
sst2_169,train
sst2_170,train
sst2_171,train
sst2_173,train
sst2_176,train
sst2_177,train
sst2_178,train
sst2_18,train
sst2_180,train
sst2_181,train
sst2_182,train
sst2_183,train
sst2_186,train
sst2_187,train
sst2_188,train
sst2_191,train
sst2_192,train
sst2_193,train
sst2_194,train
sst2_199,train
sst2_2,train
sst2_20,train
sst2_202,train
sst2_206,train
sst2_207,train
sst2_208,train
sst2_210,train
sst2_211,train
sst2_212,train
sst2_216,train
sst2_217,train
sst2_219,train
sst2_220,train
sst2_221,train
sst2_222,train
sst2_223,train
sst2_224,train
sst2_225,train
sst2_227,train
sst2_231,train
sst2_233,train
sst2_234,train
sst2_235,train
sst2_236,train
sst2_238,train
sst2_239,train
sst2_24,train
sst2_241,train
sst2_247,train
sst2_248,train
sst2_256,train
sst2_258,train
sst2_259,train
sst2_260,train
sst2_266,train
sst2_267,train
sst2_269,train
sst2_27,train
sst2_272,train
sst2_273,train
sst2_274,train
sst2_276,train
sst2_278,train
sst2_28,train
sst2_280,train
sst2_283,train
sst2_284,train
sst2_286,train
sst2_287,train
sst2_289,train
sst2_290,train
sst2_291,train
sst2_292,train
sst2_293,train
sst2_294,train
sst2_295,train
sst2_296,train
sst2_297,train
sst2_298,train
sst2_30,train
sst2_301,train
sst2_302,train
sst2_305,train
sst2_306,train
sst2_307,train
sst2_308,train
sst2_309,train
sst2_31,train
sst2_310,train
sst2_312,train
sst2_315,train
sst2_319,train
sst2_320,train
sst2_321,train
sst2_322,train
sst2_326,train
sst2_328,train
sst2_33,train
sst2_333,train
sst2_334,train
sst2_336,train
sst2_339,train
sst2_34,train
sst2_342,train
sst2_343,train
sst2_345,train
sst2_346,train
sst2_347,train
sst2_349,train
sst2_350,train
sst2_351,train
sst2_352,train
sst2_353,train
sst2_354,train
sst2_355,train
sst2_356,train
sst2_357,train
sst2_359,train
sst2_360,train
sst2_361,train
sst2_363,train
sst2_364,train
sst2_365,train
sst2_367,train
sst2_370,train
sst2_371,train
sst2_372,train
sst2_373,train
sst2_375,train
sst2_377,train
sst2_378,train
sst2_38,train
sst2_380,train
sst2_381,train
sst2_382,train
sst2_386,train
sst2_387,train
sst2_389,train
sst2_39,train
sst2_396,train
sst2_397,train
sst2_398,train
sst2_403,train
sst2_404,train
sst2_405,train
sst2_406,train
sst2_407,train
sst2_41,train
sst2_410,train
sst2_411,train
sst2_412,train
sst2_413,train
sst2_416,train
sst2_417,train
sst2_420,train
sst2_422,train
sst2_423,train
sst2_425,train
sst2_426,train
sst2_428,train
sst2_43,train
sst2_433,train
sst2_434,train
sst2_435,train
sst2_438,train
sst2_44,train
sst2_442,train
sst2_443,train
sst2_444,train
sst2_445,train
sst2_446,train
sst2_448,train
sst2_449,train
sst2_45,train
sst2_450,train
sst2_453,train
sst2_457,train
sst2_46,train
sst2_461,train
sst2_464,train
sst2_466,train
sst2_468,train
sst2_47,train
sst2_470,train
sst2_471,train
sst2_473,train
sst2_474,train
sst2_477,train
sst2_478,train
sst2_479,train
sst2_481,train
sst2_482,train
sst2_483,train
sst2_484,train
sst2_485,train
sst2_486,train
sst2_489,train
sst2_493,train
sst2_494,train
sst2_495,train
sst2_496,train
sst2_497,train
sst2_5,train
sst2_50,train
sst2_500,train
sst2_501,train
sst2_502,train
sst2_504,train
sst2_508,train
sst2_509,train
sst2_510,train
sst2_511,train
sst2_513,train
sst2_514,train
sst2_515,train
sst2_516,train
sst2_518,train
sst2_52,train
sst2_520,train
sst2_523,train
sst2_524,train
sst2_526,train
sst2_527,train
sst2_528,train
sst2_529,train
sst2_53,train
sst2_530,train
sst2_537,train
sst2_538,train
sst2_539,train
sst2_541,train
sst2_544,train
sst2_545,train
sst2_546,train
sst2_547,train
sst2_549,train
sst2_550,train
sst2_551,train
sst2_553,train
sst2_555,train
sst2_557,train
sst2_559,train
sst2_56,train
sst2_561,train
sst2_563,train
sst2_566,train
sst2_568,train
sst2_569,train
sst2_575,train
sst2_576,train
sst2_577,train
sst2_585,train
sst2_588,train
sst2_589,train
sst2_59,train
sst2_592,train
sst2_593,train
sst2_595,train
sst2_596,train
sst2_597,train
sst2_599,train
sst2_6,train
sst2_601,train
sst2_602,train
sst2_605,train
sst2_606,train
sst2_607,train
sst2_608,train
sst2_609,train
sst2_610,train
sst2_611,train
sst2_612,train
sst2_614,train
sst2_616,train
sst2_617,train
sst2_618,train
sst2_619,train
sst2_62,train
sst2_620,train
sst2_623,train
sst2_624,train
sst2_627,train
sst2_632,train
sst2_633,train
sst2_636,train
sst2_637,train
sst2_639,train
sst2_641,train
sst2_645,train
sst2_646,train
sst2_648,train
sst2_649,train
sst2_65,train
sst2_652,train
sst2_654,train
sst2_656,train
sst2_657,train
sst2_659,train
sst2_660,train
sst2_661,train
sst2_663,train
sst2_668,train
sst2_670,train
sst2_671,train
sst2_673,train
sst2_675,train
sst2_676,train
sst2_678,train
sst2_679,train
sst2_681,train
sst2_682,train
sst2_683,train
sst2_685,train
sst2_686,train
sst2_687,train
sst2_689,train
sst2_690,train
sst2_692,train
sst2_695,train
sst2_696,train
sst2_697,train
sst2_698,train
sst2_699,train
sst2_7,train
sst2_70,train
sst2_700,train
sst2_702,train
sst2_703,train
sst2_705,train
sst2_706,train
sst2_709,train
sst2_710,train
sst2_711,train
sst2_712,train
sst2_713,train
sst2_715,train
sst2_716,train
sst2_717,train
sst2_719,train
sst2_720,train
sst2_721,train
sst2_722,train
sst2_723,train
sst2_724,train
sst2_728,train
sst2_729,train
sst2_73,train
sst2_732,train
sst2_734,train
sst2_736,train
sst2_737,train
sst2_739,train
sst2_740,train
sst2_742,train
sst2_743,train
sst2_745,train
sst2_748,train
sst2_749,train
sst2_75,train
sst2_751,train
sst2_752,train
sst2_753,train
sst2_754,train
sst2_755,train
sst2_756,train
sst2_758,train
sst2_759,train
sst2_761,train
sst2_762,train
sst2_763,train
sst2_764,train
sst2_769,train
sst2_770,train
sst2_772,train
sst2_773,train
sst2_776,train
sst2_778,train
sst2_779,train
sst2_784,train
sst2_785,train
sst2_786,train
sst2_787,train
sst2_79,train
sst2_790,train
sst2_791,train
sst2_793,train
sst2_794,train
sst2_8,train
sst2_80,train
sst2_801,train
sst2_802,train
sst2_804,train
sst2_805,train
sst2_806,train
sst2_809,train
sst2_81,train
sst2_810,train
sst2_812,train
sst2_813,train
sst2_814,train
sst2_816,train
sst2_817,train
sst2_819,train
sst2_82,train
sst2_820,train
sst2_821,train
sst2_822,train
sst2_823,train
sst2_824,train
sst2_826,train
sst2_827,train
sst2_828,train
sst2_829,train
sst2_83,train
sst2_830,train
sst2_832,train
sst2_834,train
sst2_839,train
sst2_84,train
sst2_842,train
sst2_844,train
sst2_845,train
sst2_848,train
sst2_85,train
sst2_850,train
sst2_856,train
sst2_858,train
sst2_860,train
sst2_861,train
sst2_863,train
sst2_865,train
sst2_866,train
sst2_867,train
sst2_870,train
sst2_871,train
sst2_873,train
sst2_874,train
sst2_876,train
sst2_877,train
sst2_878,train
sst2_879,train
sst2_88,train
sst2_880,train
sst2_881,train
sst2_883,train
sst2_885,train
sst2_886,train
sst2_888,train
sst2_89,train
sst2_891,train
sst2_892,train
sst2_893,train
sst2_894,train
sst2_896,train
sst2_899,train
sst2_9,train
sst2_903,train
sst2_904,train
sst2_906,train
sst2_910,train
sst2_912,train
sst2_913,train
sst2_914,train
sst2_917,train
sst2_918,train
sst2_919,train
sst2_920,train
sst2_921,train
sst2_922,train
sst2_924,train
sst2_928,train
sst2_930,train
sst2_931,train
sst2_932,train
sst2_933,train
sst2_934,train
sst2_935,train
sst2_936,train
sst2_938,train
sst2_939,train
sst2_941,train
sst2_943,train
sst2_946,train
sst2_947,train
sst2_948,train
sst2_949,train
sst2_95,train
sst2_950,train
sst2_953,train
sst2_954,train
sst2_956,train
sst2_957,train
sst2_96,train
sst2_961,train
sst2_962,train
sst2_963,train
sst2_965,train
sst2_966,train
sst2_968,train
sst2_970,train
sst2_971,train
sst2_972,train
sst2_976,train
sst2_978,train
sst2_979,train
sst2_980,train
sst2_982,train
sst2_983,train
sst2_986,train
sst2_987,train
sst2_989,train
sst2_99,train
sst2_990,train
sst2_991,train
sst2_992,train
sst2_993,train
sst2_995,train
sst2_997,train
sst2_998,train
sst2_999,train
svamp_1,train
svamp_102,train
svamp_104,train
svamp_105,train
svamp_109,train
svamp_111,train
svamp_115,train
svamp_117,train
svamp_119,train
svamp_124,train
svamp_126,train
svamp_127,train
svamp_128,train
svamp_129,train
svamp_13,train
svamp_130,train
svamp_132,train
svamp_133,train
svamp_134,train
svamp_14,train
svamp_146,train
svamp_15,train
svamp_151,train
svamp_160,train
svamp_162,train
svamp_164,train
svamp_165,train
svamp_166,train
svamp_173,train
svamp_178,train
svamp_18,train
svamp_180,train
svamp_184,train
svamp_185,train
svamp_188,train
svamp_190,train
svamp_191,train
svamp_193,train
svamp_194,train
svamp_202,train
svamp_205,train
svamp_206,train
svamp_207,train
svamp_208,train
svamp_212,train
svamp_213,train
svamp_214,train
svamp_219,train
svamp_22,train
svamp_221,train
svamp_223,train
svamp_224,train
svamp_226,train
svamp_227,train
svamp_231,train
svamp_232,train
svamp_233,train
svamp_234,train
svamp_235,train
svamp_238,train
svamp_243,train
svamp_245,train
svamp_247,train
svamp_248,train
svamp_25,train
svamp_251,train
svamp_252,train
svamp_254,train
svamp_255,train
svamp_256,train
svamp_261,train
svamp_263,train
svamp_265,train
svamp_266,train
svamp_269,train
svamp_271,train
svamp_273,train
svamp_277,train
svamp_278,train
svamp_28,train
svamp_280,train
svamp_285,train
svamp_287,train
svamp_289,train
svamp_290,train
svamp_299,train
svamp_3,train
svamp_301,train
svamp_302,train
svamp_303,train
svamp_305,train
svamp_307,train
svamp_31,train
svamp_315,train
svamp_319,train
svamp_322,train
svamp_323,train
svamp_327,train
svamp_329,train
svamp_330,train
svamp_338,train
svamp_339,train
svamp_34,train
svamp_341,train
svamp_342,train
svamp_344,train
svamp_346,train
svamp_347,train
svamp_348,train
svamp_350,train
svamp_356,train
svamp_363,train
svamp_365,train
svamp_368,train
svamp_369,train
svamp_370,train
svamp_371,train
svamp_372,train
svamp_373,train
svamp_376,train
svamp_378,train
svamp_379,train
svamp_38,train
svamp_380,train
svamp_382,train
svamp_383,train
svamp_384,train
svamp_386,train
svamp_388,train
svamp_389,train
svamp_390,train
svamp_394,train
svamp_395,train
svamp_396,train
svamp_397,train
svamp_398,train
svamp_399,train
svamp_404,train
svamp_405,train
svamp_408,train
svamp_41,train
svamp_413,train
svamp_415,train
svamp_416,train
svamp_419,train
svamp_42,train
svamp_421,train
svamp_424,train
svamp_426,train
svamp_429,train
svamp_432,train
svamp_434,train
svamp_440,train
svamp_443,train
svamp_445,train
svamp_449,train
svamp_452,train
svamp_453,train
svamp_455,train
svamp_460,train
svamp_465,train
svamp_466,train
svamp_469,train
svamp_477,train
svamp_480,train
svamp_482,train
svamp_483,train
svamp_484,train
svamp_487,train
svamp_489,train
svamp_492,train
svamp_493,train
svamp_494,train
svamp_497,train
svamp_499,train
svamp_5,train
svamp_51,train
svamp_55,train
svamp_57,train
svamp_58,train
svamp_6,train
svamp_60,train
svamp_61,train
svamp_66,train
svamp_68,train
svamp_70,train
svamp_72,train
svamp_78,train
svamp_87,train
svamp_89,train
svamp_9,train
svamp_90,train
svamp_94,train
svamp_95,train
squad_115,test
squad_135,test
squad_147,test
squad_173,test
squad_174,test
squad_18,test
squad_182,test
squad_189,test
squad_192,test
squad_194,test
squad_2,test
squad_201,test
squad_208,test
squad_215,test
squad_217,test
squad_220,test
squad_23,test
squad_242,test
squad_249,test
squad_256,test
squad_258,test
squad_263,test
squad_28,test
squad_287,test
squad_294,test
squad_300,test
squad_31,test
squad_324,test
squad_325,test
squad_327,test
squad_336,test
squad_341,test
squad_345,test
squad_352,test
squad_367,test
squad_380,test
squad_384,test
squad_388,test
squad_390,test
squad_402,test
squad_403,test
squad_404,test
squad_415,test
squad_418,test
squad_420,test
squad_435,test
squad_438,test
squad_447,test
squad_452,test
squad_453,test
squad_456,test
squad_469,test
squad_475,test
squad_485,test
squad_496,test
squad_54,test
squad_66,test
squad_67,test
squad_7,test
squad_70,test
squad_77,test
squad_80,test
squad_81,test
squad_83,test
squad_92,test
squad_99,test
sst2_1,test
sst2_10,test
sst2_103,test
sst2_114,test
sst2_122,test
sst2_128,test
sst2_129,test
sst2_141,test
sst2_143,test
sst2_148,test
sst2_15,test
sst2_158,test
sst2_165,test
sst2_175,test
sst2_179,test
sst2_184,test
sst2_19,test
sst2_190,test
sst2_200,test
sst2_215,test
sst2_230,test
sst2_237,test
sst2_25,test
sst2_250,test
sst2_251,test
sst2_252,test
sst2_263,test
sst2_270,test
sst2_275,test
sst2_279,test
sst2_285,test
sst2_29,test
sst2_299,test
sst2_3,test
sst2_300,test
sst2_304,test
sst2_316,test
sst2_317,test
sst2_329,test
sst2_338,test
sst2_369,test
sst2_388,test
sst2_399,test
sst2_40,test
sst2_408,test
sst2_409,test
sst2_414,test
sst2_419,test
sst2_421,test
sst2_430,test
sst2_432,test
sst2_440,test
sst2_447,test
sst2_451,test
sst2_458,test
sst2_460,test
sst2_463,test
sst2_469,test
sst2_498,test
sst2_505,test
sst2_507,test
sst2_51,test
sst2_512,test
sst2_517,test
sst2_519,test
sst2_522,test
sst2_531,test
sst2_532,test
sst2_543,test
sst2_548,test
sst2_558,test
sst2_562,test
sst2_564,test
sst2_565,test
sst2_572,test
sst2_573,test
sst2_578,test
sst2_58,test
sst2_582,test
sst2_583,test
sst2_586,test
sst2_600,test
sst2_613,test
sst2_615,test
sst2_625,test
sst2_628,test
sst2_640,test
sst2_647,test
sst2_651,test
sst2_66,test
sst2_666,test
sst2_669,test
sst2_672,test
sst2_68,test
sst2_69,test
sst2_701,test
sst2_714,test
sst2_718,test
sst2_72,test
sst2_730,test
sst2_74,test
sst2_744,test
sst2_750,test
sst2_757,test
sst2_765,test
sst2_768,test
sst2_781,test
sst2_789,test
sst2_792,test
sst2_796,test
sst2_799,test
sst2_807,test
sst2_815,test
sst2_833,test
sst2_837,test
sst2_846,test
sst2_847,test
sst2_851,test
sst2_853,test
sst2_854,test
sst2_864,test
sst2_875,test
sst2_890,test
sst2_895,test
sst2_902,test
sst2_908,test
sst2_916,test
sst2_927,test
sst2_929,test
sst2_93,test
sst2_937,test
sst2_94,test
sst2_944,test
sst2_945,test
sst2_955,test
sst2_958,test
sst2_960,test
sst2_967,test
sst2_975,test
sst2_977,test
sst2_981,test
sst2_984,test
sst2_996,test
svamp_113,test
svamp_139,test
svamp_147,test
svamp_149,test
svamp_158,test
svamp_159,test
svamp_168,test
svamp_171,test
svamp_174,test
svamp_181,test
svamp_196,test
svamp_198,test
svamp_21,test
svamp_215,test
svamp_228,test
svamp_260,test
svamp_274,test
svamp_275,test
svamp_276,test
svamp_281,test
svamp_29,test
svamp_293,test
svamp_351,test
svamp_377,test
svamp_387,test
svamp_39,test
svamp_401,test
svamp_411,test
svamp_414,test
svamp_430,test
svamp_435,test
svamp_451,test
svamp_473,test
svamp_474,test
svamp_476,test
svamp_481,test
svamp_496,test
svamp_64,test
svamp_67,test
svamp_8,test
svamp_81,test
